source,method,k,n_dims,digit_hsic,digit_null,digit_p95,digit_p,b_hsic,b_null,b_p95,b_p,rot_hsic,rot_null,rot_p95,rot_p
Raw,none,0,64,0.4157870446736925,0.010754747408814706,0.011965120195975358,0.0004997501249375312,0.1751065616391273,0.0049880055682661436,0.00627867163006609,0.0004997501249375312,0.3052790828619375,0.006454809201075237,0.007667262088456235,0.0004997501249375312
Flower-cond,embedding,0,64,0.17314509412286855,0.016384945654812244,0.017560965860734606,0.0004997501249375312,0.11200321107274235,0.007598235883232236,0.008777355760616543,0.0004997501249375312,0.173841818116572,0.009819864610694985,0.011019280222810322,0.0004997501249375312
Flower-uncond,embedding,0,64,0.22317899942410982,0.01571431638339705,0.016886815162783283,0.0004997501249375312,0.10723330743454046,0.007285574645627557,0.008509864770959103,0.0004997501249375312,0.1702294674900877,0.009422801488650961,0.010643806915671431,0.0004997501249375312
FastICA,residB,0,64,0.031036946112185965,0.019068205744120985,0.020219927979204397,0.0004997501249375312,0.11274332664726837,0.00884489796833111,0.010020986857473158,0.0004997501249375312,0.14763241387029838,0.011450895605080703,0.012596530332282441,0.0004997501249375312
iVAE-cond,residB,0,64,0.41152618811705577,0.009393398858342958,0.010589622918540924,0.0004997501249375312,0.11069661386146781,0.004363790257659991,0.0056913772803572965,0.0004997501249375312,0.22547353030038975,0.005635920841706106,0.0068623176374919305,0.0004997501249375312
iVAE-fair,residB,0,64,0.18479763710526595,0.003181837009741077,0.0044535116589077784,0.0004997501249375312,0.05171111042056576,0.001501170292028939,0.002865174636706356,0.0004997501249375312,0.1355192642533022,0.0018983129416348713,0.0032763039933434196,0.0004997501249375312
