source,method,k,n_dims,z_pearson_max,z_pearson_mean,z_pearson_n_above,z_pearson_null,z_spearman_max,z_spearman_mean,z_spearman_n_above,z_spearman_null,logM*_raw_max,logM*_partial_max,logSFR_raw_max,logSFR_partial_max,A_v_raw_max,A_v_partial_max,z_r2_linreg,z_r2_mlp,logM*_r2_mlp,logSFR_r2_mlp,A_v_r2_mlp
Raw,none,0,10,0.48888995661995327,0.2311049429994533,7,0.004816998156455678,0.5288032032331316,0.2646980249206843,7,0.004816998156455678,0.7262658271737704,0.6751336776040923,0.6368934143009375,0.6327026410082778,0.544007788101332,0.5488681025614021,0.40372448018609974,0.554594042999188,0.8088176486694214,0.6588990459886613,0.5729344060959877
FastICA,residB,0,10,0.010048459865456577,0.004206336862257083,0,0.004816998156455678,0.21173998193723617,0.03548570911732226,1,0.004816998156455678,0.35677193020167175,0.5295243082986674,0.6596413413483847,0.6712910181663433,0.4566484327379154,0.4562093224756022,-8.057595666022266e-06,0.6065248780326653,0.728253652596417,0.6660911807746456,0.5673014146873152
iVAE,residB,0,10,0.03541554093584518,0.01410119232497425,0,0.004816998156455678,0.08204637109649457,0.02529091288308536,0,0.004816998156455678,0.4061247804874456,0.6451115385516629,0.5743581539927587,0.5810302767513927,0.5811926249476472,0.5817576003926395,0.002714402100968516,0.4336734698037711,0.6176500650550667,0.6530481936975898,0.5593902614276198
FastICA,residA,1,9,0.3606997113154949,0.13048484870897362,4,0.004816998156455678,0.38539839399561787,0.13151951330109965,5,0.004816998156455678,0.3337511754011157,0.264760328745032,0.36231614913090376,0.34033460132779136,0.29840044024808837,0.2984834595721313,0.27322836581465537,0.5017260360312741,0.7083563868735496,0.49856888197380467,0.5125394795138865
FastICA,residA,2,8,0.2888265796587492,0.10170799088315845,3,0.004816998156455678,0.34402793614369526,0.09978465321428487,4,0.004816998156455678,0.3337511754011157,0.264760328745032,0.36231614913090376,0.34033460132779136,0.29840044024808837,0.2984834595721313,0.1422791329901275,0.3889559191163252,0.6515832450863701,0.4348081834838573,0.48775106388054357
FastICA,residA,3,7,0.16358448227514286,0.0749767639152169,2,0.004816998156455678,0.14734016893284804,0.06489275565294052,3,0.004816998156455678,0.19832680602470967,0.264760328745032,0.15770999935192373,0.15756545366676178,0.29840044024808837,0.2984834595721313,0.05748950685008114,0.21909954706886414,0.483668285178145,0.2750185100991309,0.34784288406839914
FastICA,residA,4,6,0.11475780366699453,0.06020881085522926,1,0.004816998156455678,0.1282937968675443,0.05115152010628926,2,0.004816998156455678,0.1630655480087862,0.264760328745032,0.15770999935192373,0.15756545366676178,0.29840044024808837,0.2984834595721313,0.03147777682196051,0.1631880897511182,0.38276136694755314,0.21801153783709593,0.30598371463380747
FastICA,residA,6,4,0.0844778084718174,0.03734619317058549,0,0.004816998156455678,0.048405218495978855,0.01936830416189271,0,0.004816998156455678,0.1630655480087862,0.264760328745032,0.15770999935192373,0.15756545366676178,0.29840044024808837,0.2984834595721313,0.009127190803767116,0.0956735614031341,0.28685431545270723,0.1655380809953193,0.2577871515464242
FastICA,residA,7,3,0.044684861525331125,0.021635654736841512,0,0.004816998156455678,0.048405218495978855,0.020050948047151296,0,0.004816998156455678,0.1630655480087862,0.264760328745032,0.15770999935192373,0.15756545366676178,0.29840044024808837,0.2984834595721313,0.0020271341519476627,0.02909737687470748,0.14629498527929552,0.10552063550249924,0.211773723102488
FastICA,residA,8,2,0.011301139079504164,0.01011105134259671,0,0.004816998156455678,0.011653439699710425,0.005873812822737518,0,0.004816998156455678,0.1630655480087862,0.264760328745032,0.15770999935192373,0.15756545366676178,0.29840044024808837,0.2984834595721313,4.091896691282848e-05,0.009042438118942009,0.13952815097429405,0.0935303975848516,0.21137223636828284
