source,method,n_dims,mode_eta_max,mode_eta_mean,mode_eta_null,dist_raw_max,dist_partial_max,seed_multiple_max,seed_mcc,mode_acc_logreg,mode_acc_mlp,dist_r2_linreg,dist_r2_mlp
Raw,none,2,0.973641915641656,0.9731520472331088,0.024497347285059274,0.010571771463124581,0.00932690098914322,0.22792644650555913,0.21277958769453686,1.0,1.0,-0.0007243156433105469,0.9978920817375183
FastICA,residA,1,0.9736458599328758,0.9736458599328758,0.024497347285059274,0.004233812233555712,0.00021150945362271754,0.19840463429154587,0.19768529043566335,0.496,0.4928,-0.0008836984634399414,0.457441508769989
FastICA,residB,2,0.04409309725742694,0.035330257787572386,0.024497347285059274,0.00916534529483378,0.00901939991983091,0.9999836056488588,0.9999452337687219,0.2552,0.2496,-0.00022276927989217654,0.9996494512102976
iVAE,residA,1,0.9558227865334523,0.9558227865334523,0.024497347285059274,0.008642767545918128,0.0021808738998148744,0.29271526798377434,0.26098201080393163,0.879,0.8802,-0.0005555152893066406,0.2748975157737732
iVAE,residB,2,0.05187944930517329,0.037334714383939135,0.024497347285059274,0.011936683053753802,0.011373586159316646,0.9990126870806849,0.8648022751203223,0.2542,0.263,-0.000293731689453125,0.9943464994430542
