embedding,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,rot_r2_linreg,rot_r2_mlp
Raw (orig),0.9467,0.9785,0.9593389122221618,0.9904285703918139,0.6604422629964865,0.9241177742912008
uncond,0.8028,0.923,0.8964239097500364,0.9699195471718022,0.5302721983759389,0.791032131439168
Flower cond,0.7484,0.7922,0.92249960487204,0.9597311257540635,0.49480123080783345,0.6108836064375773
