seed,kind,omega,dx0_r2_lin,dx0_r2_mlp,dx1_r2_lin,dx1_r2_mlp,dist_r2_lin,dist_r2_mlp,mode_acc_logreg,mode_acc_mlp
0,raw,,0.05361282825469971,0.9973955750465393,0.05618441104888916,0.9949855208396912,0.0005565285682678223,0.9942681789398193,1.0,1.0
0,seed,0.0,0.3514232635498047,0.9708251953125,0.33930373191833496,0.9862009286880493,0.0017826557159423828,0.9720309972763062,0.9964,0.9996
0,seed,0.1,0.40881621837615967,0.5433846712112427,0.39522629976272583,0.5960271954536438,0.0017368793487548828,0.8189204931259155,0.8536,0.854
0,seed,0.2,0.4754965305328369,0.5502923727035522,0.46124565601348877,0.5369542837142944,0.001653432846069336,0.6374069452285767,0.7152,0.7144
0,seed,0.3,0.5518646240234375,0.5941295027732849,0.537520170211792,0.5818896293640137,0.001578211784362793,0.4825893044471741,0.6208,0.6044
0,seed,0.4,0.636740505695343,0.6670588254928589,0.6231704950332642,0.656008780002594,0.0015249252319335938,0.4090538024902344,0.5296,0.5332
0,seed,0.5,0.7265247106552124,0.7485852837562561,0.7154373526573181,0.7367696762084961,0.0014804601669311523,0.47272270917892456,0.4656,0.4692
0,seed,0.6,0.8149250745773315,0.8284178376197815,0.8081139922142029,0.8194283246994019,0.0014175772666931152,0.5881707072257996,0.4076,0.4036
0,seed,0.7,0.8934929370880127,0.8990160226821899,0.8916230797767639,0.896456778049469,0.0013214349746704102,0.7387100458145142,0.366,0.342
0,seed,0.8,0.9533267617225647,0.9545725584030151,0.9549964666366577,0.9557303786277771,0.0011926889419555664,0.8774534463882446,0.3168,0.3124
0,seed,0.9,0.9880955815315247,0.987863302230835,0.9898049831390381,0.9897374510765076,0.0010006427764892578,0.9676781296730042,0.2828,0.2792
0,seed,1.0,0.9965630173683167,0.996393084526062,0.9939659237861633,0.9937955141067505,0.0007115006446838379,0.9855561256408691,0.2708,0.2672
1,raw,,0.04750281572341919,0.9911856055259705,0.041035234928131104,0.9966866970062256,-0.0005511045455932617,0.9969097375869751,1.0,1.0
1,seed,0.0,0.34509527683258057,0.9650764465332031,0.3105499744415283,0.9906343817710876,-0.0002645254135131836,0.9726019501686096,0.9976,0.9992
1,seed,0.1,0.4031980633735657,0.5529434680938721,0.3676795959472656,0.5360248684883118,-0.00027298927307128906,0.8102768063545227,0.8264,0.8276
1,seed,0.2,0.47081369161605835,0.5619595050811768,0.43578416109085083,0.4841408133506775,-0.0003072023391723633,0.6337590217590332,0.6988,0.708
1,seed,0.3,0.5483028888702393,0.5933998823165894,0.5151150226593018,0.5596812963485718,-0.00036728382110595703,0.4636213183403015,0.598,0.6024
1,seed,0.4,0.6343309879302979,0.6683589220046997,0.6048721075057983,0.6321094036102295,-0.00045311450958251953,0.40664738416671753,0.532,0.5216
1,seed,0.5,0.7251214981079102,0.7511972188949585,0.7019836902618408,0.7255237102508545,-0.0005762577056884766,0.4469144344329834,0.4552,0.4584
1,seed,0.6,0.81426602602005,0.8292961716651917,0.7996065616607666,0.8135247826576233,-0.0007524490356445312,0.5843963623046875,0.3964,0.4
1,seed,0.7,0.8932304978370667,0.9003738760948181,0.8872854709625244,0.8926399946212769,-0.000993490219116211,0.7303622364997864,0.3472,0.3508
1,seed,0.8,0.9531044960021973,0.954897940158844,0.9533855319023132,0.9535220861434937,-0.0012900829315185547,0.8728742599487305,0.2968,0.2956
1,seed,0.9,0.9878697991371155,0.987855851650238,0.989598274230957,0.9893329739570618,-0.001583695411682129,0.9676151275634766,0.266,0.2752
1,seed,1.0,0.9968920946121216,0.9968667030334473,0.9946478605270386,0.9945125579833984,-0.0017894506454467773,0.987837016582489,0.2748,0.28
2,raw,,0.06825745105743408,0.9989093542098999,0.05963850021362305,0.9992711544036865,0.00039082765579223633,0.9964639544487,1.0,1.0
2,seed,0.0,0.38630759716033936,0.9791842103004456,0.34640657901763916,0.9864661693572998,4.851818084716797e-05,0.9853904843330383,0.9984,0.9996
2,seed,0.1,0.44262033700942993,0.5730845332145691,0.402366042137146,0.5901576280593872,2.288818359375e-05,0.8465916514396667,0.8468,0.8472
2,seed,0.2,0.5070981383323669,0.582746148109436,0.46809089183807373,0.5590549111366272,-9.179115295410156e-06,0.6708670854568481,0.7124,0.7264
2,seed,0.3,0.5798991918563843,0.6221400499343872,0.5436338186264038,0.5912895202636719,-6.377696990966797e-05,0.5046390295028687,0.6208,0.6136
2,seed,0.4,0.6597702503204346,0.690443754196167,0.6281615495681763,0.6607097387313843,-0.00014770030975341797,0.4557104706764221,0.5392,0.5352
2,seed,0.5,0.7434560060501099,0.7663123607635498,0.7189890742301941,0.7402801513671875,-0.00026345252990722656,0.49395060539245605,0.4708,0.4636
2,seed,0.6,0.8254926204681396,0.8391234874725342,0.8101199269294739,0.8214486837387085,-0.0004023313522338867,0.5963772535324097,0.4196,0.3964
2,seed,0.7,0.8985767960548401,0.9059689044952393,0.8923235535621643,0.8968231081962585,-0.0005466938018798828,0.7470297813415527,0.3592,0.3532
2,seed,0.8,0.9548425674438477,0.9581630825996399,0.9549263715744019,0.9556751847267151,-0.0006707906723022461,0.8849964737892151,0.3124,0.3124
2,seed,0.9,0.9882388710975647,0.9889549016952515,0.9896159768104553,0.9896053671836853,-0.0007369518280029297,0.971298336982727,0.2728,0.2788
2,seed,1.0,0.9969885349273682,0.996990442276001,0.994236171245575,0.9944162964820862,-0.0007259845733642578,0.9883777499198914,0.2628,0.27
